epoch,negative_elbo
1,633.5089767313449
2,631.2953491210938
3,629.6746204411872
4,628.4963812426986
5,627.6200173636463
6,626.9917471341997
7,626.5130586713274
8,626.1462328188887
9,625.8531374352001
10,625.6356543425088
11,625.4523343950789
12,625.2997807297751
13,625.1582219489267
