x1,y1, z1, x2,y2,z2
-234.201, -55.3173, 78.3206, -99.9647, -22.509, 34.8361
-234.412, -54.4869, 79.0294, -98.6682, -23.3458, 34.8384
-234.592, -53.6493, 79.7408, -97.3657, -24.1812, 34.8446
-234.743, -52.8048, 80.4549, -96.0573, -25.0152, 34.8547
-234.862, -51.9534, 81.1716, -94.7433, -25.8477, 34.8687
-234.951, -51.0953, 81.8907, -93.4236, -26.6786, 34.8866
-235.01, -50.2305, 82.6121, -92.0984, -27.508, 34.9083
-235.038, -49.3592, 83.3358, -90.7678, -28.3358, 34.9338
-235.036, -48.4815, 84.0617, -89.432, -29.1619, 34.9631
-235.003, -47.5975, 84.7896, -88.091, -29.9864, 34.9961
-234.94, -46.7074, 85.5195, -86.7451, -30.8091, 35.0328
-234.846, -45.8112, 86.2513, -85.3942, -31.6302, 35.0732
-234.722, -44.9091, 86.9848, -84.0385, -32.4494, 35.1173
-234.568, -44.0012, 87.72, -82.6781, -33.2668, 35.165
-234.384, -43.0877, 88.4568, -81.3132, -34.0824, 35.2162
-234.169, -42.1686, 89.1951, -79.9437, -34.8961, 35.271
-233.925, -41.2441, 89.9348, -78.57, -35.7079, 35.3294
-233.65, -40.3143, 90.6757, -77.1919, -36.5178, 35.3912
-233.346, -39.3794, 91.4179, -75.8097, -37.3257, 35.4565
-233.012, -38.4394, 92.1611, -74.4235, -38.1316, 35.5253
-232.648, -37.4946, 92.9054, -73.0333, -38.9355, 35.5975
-232.254, -36.545, 93.6505, -71.6393, -39.7373, 35.6731
-231.832, -35.5907, 94.3965, -70.2415, -40.5371, 35.752
-231.38, -34.632, 95.1431, -68.8401, -41.3347, 35.8343
-230.898, -33.6689, 95.8904, -67.4352, -42.1303, 35.9198
-230.388, -32.7016, 96.6382, -66.0268, -42.9236, 36.0087
-229.849, -31.7301, 97.3864, -64.615, -43.7148, 36.1008
-229.281, -30.7547, 98.1349, -63.1999, -44.5038, 36.1962
-228.685, -29.7755, 98.8837, -61.7817, -45.2905, 36.2947
-228.06, -28.7926, 99.6326, -60.3604, -46.075, 36.3964
-227.407, -27.8061, 100.382, -58.9361, -46.8572, 36.5013
-226.726, -26.8161, 101.13, -57.5089, -47.6371, 36.6094
-226.017, -25.8229, 101.879, -56.0789, -48.4146, 36.7205
-225.28, -24.8265, 102.628, -54.6461, -49.1898, 36.8347
-224.516, -23.8271, 103.376, -53.2107, -49.9626, 36.952
-223.724, -22.8248, 104.124, -51.7727, -50.7329, 37.0724
-222.906, -21.8197, 104.871, -50.3322, -51.5009, 37.1958
-222.06, -20.812, 105.618, -48.8893, -52.2663, 37.3221
-221.188, -19.8018, 106.364, -47.4441, -53.0293, 37.4515
-220.289, -18.7892, 107.109, -45.9966, -53.7898, 37.5838
-219.364, -17.7744, 107.854, -44.547, -54.5477, 37.7191
-218.413, -16.7574, 108.597, -43.0952, -55.303, 37.8573
-217.437, -15.7385, 109.34, -41.6414, -56.0558, 37.9984
-216.434, -14.7178, 110.081, -40.1857, -56.8059, 38.1425
-215.407, -13.6953, 110.821, -38.7281, -57.5534, 38.2894
-214.354, -12.6712, 111.56, -37.2687, -58.2982, 38.4391
-213.277, -11.6457, 112.298, -35.8076, -59.0404, 38.5918
-212.175, -10.6188, 113.034, -34.3449, -59.7797, 38.7472
-211.048, -9.5907, 113.769, -32.8805, -60.5164, 38.9055
-209.898, -8.56151, 114.502, -31.4146, -61.2502, 39.0667
-208.724, -7.53135, 115.233, -29.9473, -61.9812, 39.2306
-207.526, -6.50033, 115.963, -28.4786, -62.7094, 39.3973
-206.305, -5.46859, 116.691, -27.0086, -63.4347, 39.5668
-205.061, -4.43624, 117.417, -25.5374, -64.157, 39.739
-203.794, -3.4034, 118.141, -24.065, -64.8765, 39.9141
-202.505, -2.37019, 118.863, -22.5914, -65.5929, 40.0918
-201.194, -1.33671, 119.584, -21.1169, -66.3064, 40.2724
-199.861, -0.303089, 120.302, -19.6414, -67.0168, 40.4556
-198.506, 0.730565, 121.017, -18.165, -67.7241, 40.6416
-197.13, 1.76414, 121.731, -16.6877, -68.4283, 40.8304
-195.733, 2.79753, 122.442, -15.2097, -69.1294, 41.0218
-194.315, 3.83062, 123.151, -13.731, -69.8273, 41.216
-192.876, 4.86331, 123.857, -12.2516, -70.5219, 41.4129
-191.417, 5.89548, 124.561, -10.7717, -71.2133, 41.6125
-189.939, 6.92705, 125.263, -9.29123, -71.9014, 41.8148
-188.441, 7.9579, 125.961, -7.81037, -72.5861, 42.0199
-186.923, 8.98794, 126.658, -6.32915, -73.2675, 42.2276
-185.387, 10.0171, 127.351, -4.84763, -73.9454, 42.438
-183.832, 11.0452, 128.042, -3.36588, -74.6199, 42.6512
-182.258, 12.0722, 128.729, -1.88397, -75.2908, 42.867
-180.667, 13.098, 129.414, -0.401974, -75.9581, 43.0856
-179.057, 14.1225, 130.096, 1.08004, -76.6219, 43.3068
-177.43, 15.1456, 130.775, 2.56201, -77.282, 43.5308
-175.786, 16.1673, 131.451, 4.04385, -77.9384, 43.7574
-174.124, 17.1873, 132.125, 5.52549, -78.591, 43.9868
-172.446, 18.2058, 132.795, 7.00687, -79.2398, 44.2189
-170.752, 19.2225, 133.461, 8.48791, -79.8848, 44.4537
-169.042, 20.2374, 134.125, 9.96853, -80.5259, 44.6912
-167.315, 21.2504, 134.786, 11.4487, -81.163, 44.9315
-165.574, 22.2615, 135.443, 12.9282, -81.796, 45.1745
-163.817, 23.2705, 136.097, 14.4072, -82.425, 45.4202
-162.045, 24.2774, 136.748, 15.8854, -83.0499, 45.6686
-160.258, 25.2821, 137.395, 17.3628, -83.6706, 45.9198
-158.458, 26.2845, 138.039, 18.8393, -84.2871, 46.1737
-156.643, 27.2846, 138.68, 20.3148, -84.8992, 46.4304
-154.814, 28.2823, 139.318, 21.7893, -85.507, 46.6898
-152.972, 29.2775, 139.951, 23.2627, -86.1103, 46.952
-151.117, 30.2703, 140.582, 24.7349, -86.7092, 47.2169
-149.248, 31.2604, 141.209, 26.2058, -87.3036, 47.4846
-147.367, 32.2478, 141.832, 27.6753, -87.8933, 47.7551
-145.474, 33.2326, 142.452, 29.1433, -88.4783, 48.0283
-143.568, 34.2145, 143.069, 30.6098, -89.0586, 48.3044
-141.651, 35.1937, 143.682, 32.0746, -89.6341, 48.5832
-139.722, 36.1699, 144.291, 33.5376, -90.2048, 48.8648
-137.782, 37.1433, 144.897, 34.9989, -90.7705, 49.1492
-135.83, 38.1136, 145.499, 36.4582, -91.3312, 49.4365
-133.868, 39.0809, 146.097, 37.9155, -91.8868, 49.7265
-131.896, 40.0452, 146.692, 39.3706, -92.4373, 50.0193
-129.912, 41.0062, 147.283, 40.8236, -92.9826, 50.315
-127.919, 41.9642, 147.871, 42.2742, -93.5225, 50.6135
-125.916, 42.9189, 148.454, 43.7224, -94.0572, 50.9148
-123.904, 43.8703, 149.035, 45.1681, -94.5864, 51.2189
-121.882, 44.8184, 149.611, 46.6111, -95.1101, 51.5259
-119.851, 45.7632, 150.184, 48.0514, -95.6283, 51.8357
-117.811, 46.7046, 150.753, 49.4889, -96.1408, 52.1484
-115.763, 47.6426, 151.318, 50.9235, -96.6475, 52.4639
-113.706, 48.5771, 151.88, 52.355, -97.1485, 52.7822
-111.641, 49.5082, 152.438, 53.7833, -97.6437, 53.1034
-109.568, 50.4357, 152.992, 55.2084, -98.1329, 53.4275
-107.487, 51.3596, 153.542, 56.63, -98.616, 53.7544
